cluster,timestamp,var_p10,var_p50,var_p90
상승,2034-10-01,2207.1391431293337,2801.564002199786,3405.6083904298935
상승,2034-11-01,2236.2292149451673,2822.0174135763164,3438.6014312058132
상승,2034-12-01,2241.1378685337263,2832.5400499205443,3439.3177397765085
상승,2035-01-01,2239.005876696557,2837.6704374111773,3448.1120057781113
상승,2035-02-01,2262.835371260869,2847.5033303261744,3456.891516060253
상승,2035-03-01,2280.3286154290854,2872.5358515917296,3477.839703633355
상승,2035-04-01,2262.8241318534356,2886.7939451035977,3500.253276412834
상승,2035-05-01,2300.4471585306105,2902.24417664492,3527.1421244005273
상승,2035-06-01,2286.5686900320193,2902.0855664852807,3544.486514781537
상승,2035-07-01,2294.923406438025,2928.1882160996984,3546.075791512318
상승,2035-08-01,2323.1645850030777,2943.1311625255494,3559.4716266949486
상승,2035-09-01,2339.4449265076037,2967.2962329801185,3585.0718331313733
상승,2035-10-01,2360.262327888454,2985.8276731895157,3589.493335586366
상승,2035-11-01,2374.8905912003684,2984.784724210478,3619.3978834044115
상승,2035-12-01,2373.3505665055236,2996.9889848900193,3632.585165438122
